"Farm","Sex","Length","Ecervi"
"MO","M",-14.8175544794189,0
"MO","M",-14.8175544794189,0
"MO","M",-16.8175544794189,0
"MO","M",-18.8175544794189,0
"MO","M",-18.8175544794189,0
"MO","M",-20.3175544794189,0
"MO","M",-22.8175544794189,0
"MO","M",-23.8175544794189,0
"MO","M",-25.8175544794189,0
"MO","M",-26.8175544794189,0
"MO","M",-26.8175544794189,0
"MO","M",-29.8175544794189,0
"MO","M",-29.8175544794189,0
"MO","M",-30.8175544794189,8.63
"MO","M",-30.8175544794189,0
"MO","M",-34.8175544794189,0
"MO","M",-36.8175544794189,0
"MO","M",-37.8175544794189,0
"MO","M",-40.8175544794189,0
"MO","M",-45.8175544794189,0
"MO","M",-70.2175544794189,0
"MO","M",-76.8175544794189,0
"MO","F",52.1824455205811,0
"MO","F",47.1824455205811,0
"MO","F",46.1824455205811,107.6
"MO","F",43.1824455205811,17.7
"MO","F",40.1824455205811,4.52
"MO","F",40.1824455205811,0
"MO","F",39.1824455205811,1.13
"MO","F",38.1824455205811,44.59
"MO","F",37.1824455205811,17.51
"MO","F",36.1824455205811,7.28
"MO","F",36.1824455205811,7.1
"MO","F",35.1824455205811,91.44
"MO","F",35.1824455205811,42.4
"MO","F",35.1824455205811,37.23
"MO","F",35.1824455205811,6.1
"MO","F",35.1824455205811,0
"MO","F",34.1824455205811,7.66
"MO","F",34.1824455205811,1.09
"MO","F",33.1824455205811,0
"MO","F",32.1824455205811,1.7
"MO","F",29.1824455205811,0
"MO","F",26.6824455205811,28.19
"MO","F",26.1824455205811,0
"MO","F",25.1824455205811,26.37
"MO","F",25.1824455205811,21.89
"MO","F",25.1824455205811,0
"MO","F",24.1824455205811,12.33
"MO","F",24.1824455205811,1.97
"MO","F",23.1824455205811,0
"MO","F",22.1824455205811,0
"MO","F",21.1824455205811,0
"MO","F",20.1824455205811,17.3
"MO","F",20.1824455205811,5.82
"MO","F",20.1824455205811,0
"MO","F",17.1824455205811,1.21
"MO","F",16.1824455205811,5.92
"MO","F",15.1824455205811,0
"MO","F",14.1824455205811,2.15
"MO","F",12.1824455205811,16.12
"MO","F",12.1824455205811,1.19
"MO","F",12.1824455205811,0
"MO","F",12.1824455205811,0
"MO","F",10.1824455205811,143
"MO","F",9.18244552058113,0
"MO","F",9.18244552058113,0
"MO","F",8.18244552058113,16.5
"MO","F",8.18244552058113,0
"MO","F",8.18244552058113,0
"MO","F",6.18244552058113,14
"MO","F",5.18244552058113,0
"MO","F",2.18244552058113,0
"MO","F",2.18244552058113,0
"MO","F",1.18244552058113,0
"MO","F",0.182445520581126,15.92
"MO","F",-1.81755447941887,0
"MO","F",-3.81755447941887,130.4
"MO","F",-3.81755447941887,24.52
"MO","F",-3.81755447941887,0
"MO","F",-6.81755447941887,0
"MO","F",-6.81755447941887,0
"MO","F",-9.81755447941887,0
"MO","F",-9.81755447941887,0
"MO","F",-12.8175544794189,0
"MO","F",-13.8175544794189,7.35
"MO","F",-13.8175544794189,0
"MO","F",-14.8175544794189,0
"MO","F",-16.8175544794189,0
"MO","F",-17.8175544794189,0
"MO","F",-19.5175544794189,0
"MO","F",-19.8175544794189,1.14
"MO","F",-19.8175544794189,0
"MO","F",-22.8175544794189,0
"MO","F",-23.8175544794189,0
"MO","F",-24.8175544794189,0
"MO","F",-25.8175544794189,0
"MO","F",-25.8175544794189,0
"MO","F",-25.8175544794189,0
"MO","F",-29.8175544794189,2.17
"MO","F",-29.8175544794189,0
"MO","F",-31.8175544794189,0
"MO","F",-35.8175544794189,0
"MO","F",-35.8175544794189,0
"MO","F",-86.8175544794189,0
"NC","M",4.18244552058113,3.324
"NC","M",2.18244552058113,1.1634
"NC","M",-2.81755447941887,0
"NC","M",-3.81755447941887,2.22708
"NC","M",-8.81755447941887,0
"NC","M",-8.81755447941887,0
"NC","M",-11.8175544794189,0
"NC","M",-18.8175544794189,19.944
"NC","M",-18.8175544794189,0
"NC","F",28.6824455205811,3.56
"NC","F",25.6824455205811,0
"NC","F",20.1824455205811,0
"NC","F",16.7824455205811,8
"NC","F",15.1824455205811,0
"NC","F",15.1824455205811,0
"NC","F",13.1824455205811,0
"NC","F",12.1824455205811,0
"NC","F",11.1824455205811,1.24
"NC","F",10.1824455205811,32.53
"NC","F",10.1824455205811,0
"NC","F",9.18244552058113,1.23
"NC","F",8.18244552058113,10.17
"NC","F",7.58244552058113,5.89
"NC","F",6.38244552058111,0
"NC","F",6.18244552058113,0
"NC","F",1.18244552058113,7.25
"NC","F",-1.81755447941887,3.37
"NV","M",7.18244552058113,19.44
"NV","M",4.18244552058113,9.72
"NV","M",3.18244552058113,3.24
"NV","M",2.18244552058113,68.04
"NV","M",0.682445520581126,0
"NV","M",-2.81755447941887,6.48
"NV","M",-3.81755447941887,0
"NV","M",-7.81755447941887,0
"NV","M",-8.81755447941887,6.48
"NV","M",-9.81755447941887,0
"NV","M",-10.8175544794189,0
"NV","M",-11.3175544794189,0
"NV","M",-12.8175544794189,35.64
"NV","M",-13.1175544794189,32.4
"NV","M",-13.8175544794189,3.24
"NV","M",-14.8175544794189,0
"NV","M",-14.8175544794189,0
"NV","M",-23.8175544794189,6.48
"NV","M",-24.0175544794189,2.43
"NV","M",-29.8175544794189,0
"PN","M",11.6824455205811,3.53
"PN","M",6.28244552058112,7.48
"PN","M",3.68244552058113,7.04
"PN","M",3.18244552058113,1.1
"PN","M",1.18244552058113,12.56
"PN","M",-0.817554479418874,37.7
"PN","M",-1.81755447941887,15
"PN","M",-6.81755447941887,3.41
"PN","M",-9.01755447941886,75.04
"PN","M",-9.81755447941887,13.55
"PN","M",-12.0175544794189,19.88
"PN","M",-12.2175544794189,7.75
"PN","M",-12.8175544794189,11.59
"PN","M",-13.8175544794189,14.94
"PN","M",-15.1175544794189,0
"PN","M",-31.8175544794189,0
"PN","M",-35.8175544794189,0
"PN","F",22.1824455205811,32.9
"PN","F",22.1824455205811,23
"PN","F",21.1824455205811,44.7
"PN","F",17.1824455205811,39.5
"PN","F",16.1824455205811,5.7
"PN","F",16.1824455205811,1
"PN","F",15.1824455205811,21.8
"PN","F",14.1824455205811,51.8
"PN","F",14.1824455205811,8.5
"PN","F",13.1824455205811,40.5
"PN","F",13.1824455205811,7.2
"PN","F",11.1824455205811,190.43
"PN","F",10.1824455205811,86.3
"PN","F",10.1824455205811,32.8
"PN","F",9.18244552058113,145
"PN","F",7.18244552058113,25.8
"PN","F",4.18244552058113,28.2
"PN","F",4.18244552058113,13.55
"PN","F",4.18244552058113,6.7
"PN","F",0.182445520581126,9.8
"QM","M",6.18244552058113,39.93
"QM","M",3.18244552058113,22.23
"QM","M",3.18244552058113,0
"QM","M",0.182445520581126,105.45
"QM","M",0.182445520581126,28.12
"QM","M",-0.817554479418874,12.31
"QM","M",-1.81755447941887,0
"QM","M",-3.21755447941888,1.7
"QM","M",-4.31755447941887,94.2
"QM","M",-4.81755447941887,27.75
"QM","M",-4.81755447941887,22.04
"QM","M",-4.81755447941887,17.49
"QM","M",-6.81755447941887,15.54
"QM","M",-7.81755447941887,73.73
"QM","M",-7.81755447941887,32.54
"QM","M",-8.81755447941887,68.68
"QM","M",-9.81755447941887,108.42
"QM","M",-9.81755447941887,67.47
"QM","M",-10.8175544794189,8.83
"QM","M",-12.1175544794189,17.78
"QM","M",-12.3175544794189,89.74
"QM","M",-17.8175544794189,0
"QM","M",-18.8175544794189,678.13
"QM","M",-24.8175544794189,29.64
"QM","M",-25.8175544794189,0
"QM","M",-26.8175544794189,0
"QM","M",-30.8175544794189,0
"QM","M",-32.8175544794189,169.88
"QM","M",-44.8175544794189,170.2
"QM","M",-46.8175544794189,0
"QM","M",-47.8175544794189,13.44
"QM","M",-53.8175544794189,2.4
"QM","M",-55.8175544794189,0
"QM","F",17.1824455205811,123.7
"QM","F",15.1824455205811,43.7
"QM","F",13.6824455205811,0
"QM","F",13.1824455205811,60.39
"QM","F",11.6824455205811,33.33
"QM","F",6.68244552058113,179
"QM","F",0.182445520581126,6.023
"QM","F",-0.317554479418874,209.11
"QM","F",-1.81755447941887,466.5
"QM","F",-1.81755447941887,124.44
"QM","F",-1.81755447941887,67.8
"QM","F",-4.81755447941887,5.8
"QM","F",-4.81755447941887,0
"QM","F",-6.31755447941887,51.33
"QM","F",-9.31755447941887,53.61
"QM","F",-13.8175544794189,192.34
"QM","F",-13.8175544794189,24.38
"QM","F",-16.8175544794189,0
"QM","F",-17.3175544794189,72.51
"QM","F",-17.6175544794189,645.23
"QM","F",-18.8175544794189,1055.7
"QM","F",-19.7175544794189,26.98
"QM","F",-23.8175544794189,92.37
"QM","F",-31.8175544794189,263
"QM","F",-41.8175544794189,6.35
"QM","F",-41.8175544794189,5
"QM","F",-49.8175544794189,0
"RF","M",1.18244552058113,6.7
"RF","M",1.18244552058113,4.79
"RF","M",0.582445520581132,13.51
"RF","M",-4.81755447941887,5.93
"RF","M",-11.8175544794189,91.7
"RF","M",-20.8175544794189,32.9
"RF","M",-43.8175544794189,0
"RF","M",-47.8175544794189,0
"RF","F",19.1824455205811,29.916
"RF","F",18.1824455205811,13.296
"RF","F",15.1824455205811,1442
"RF","F",15.1824455205811,141.7686
"RF","F",12.1824455205811,113.016
"RF","F",10.1824455205811,160.7154
"RF","F",8.18244552058113,8.8086
"RF","F",6.68244552058113,109.2
"RF","F",-1.81755447941887,98.07
"RF","F",-1.81755447941887,2.33
"RF","F",-6.81755447941887,255.948
"RF","F",-6.81755447941887,12.1326
"RN","M",2.48244552058114,0
"RN","M",1.18244552058113,11.85
"RN","M",-10.8175544794189,0
"RN","M",-11.8175544794189,0
"RN","M",-24.8175544794189,0
"RN","M",-33.8175544794189,0
"RN","M",-39.8175544794189,0
"RN","F",29.1824455205811,0
"RN","F",27.1824455205811,11.9
"RN","F",16.1824455205811,0
"RN","F",14.1824455205811,26.9
"RN","F",12.1824455205811,0
"RN","F",12.1824455205811,0
"RN","F",11.1824455205811,0.8
"RN","F",10.1824455205811,0
"RN","F",7.18244552058113,1.2
"RN","F",7.18244552058113,0
"RN","F",4.18244552058113,0
"RN","F",-1.81755447941887,32.9
"RN","F",-2.81755447941887,40.4
"RN","F",-18.8175544794189,0
"RN","F",-27.8175544794189,0
"RN","F",-30.8175544794189,0
"RO","M",8.18244552058113,0
"RO","M",-4.31755447941887,2.5
"RO","M",-5.81755447941887,2.5
"RO","M",-10.8175544794189,8.75
"RO","M",-16.9175544794189,15
"RO","M",-17.8175544794189,39
"RO","M",-23.9175544794189,6.25
"RO","M",-30.8175544794189,25
"RO","F",24.1824455205811,12.1
"RO","F",20.1824455205811,71.1
"RO","F",17.1824455205811,160.6
"RO","F",16.1824455205811,556.3
"RO","F",15.1824455205811,434.02
"RO","F",15.1824455205811,45
"RO","F",13.1824455205811,11.6
"RO","F",12.1824455205811,221.3
"RO","F",12.1824455205811,114.8
"RO","F",10.6824455205811,8.75
"RO","F",10.1824455205811,13.7
"RO","F",9.18244552058113,29.4
"RO","F",7.18244552058113,63.7
"RO","F",6.18244552058113,110.4
"RO","F",1.18244552058113,2186.6
"RO","F",1.18244552058113,242.5
"RO","F",0.182445520581126,108.1
"RO","F",-0.817554479418874,35
"RO","F",-1.81755447941887,10
"RO","F",-2.81755447941887,8.75
"RO","F",-3.81755447941887,77.7
"RO","F",-35.4175544794189,0
"SAU","F",23.6824455205811,0
"SAU","F",20.1824455205811,0
"SAU","F",4.18244552058113,0
"SE","M",13.1824455205811,260.2
"SE","M",10.1824455205811,47.94
"SE","M",5.18244552058113,96.53
"SE","M",1.68244552058113,121.41
"SE","M",0.682445520581126,84.11
"SE","M",-0.817554479418874,40.669
"SE","M",-2.81755447941887,0
"SE","M",-4.31755447941887,19.66
"SE","M",-10.3175544794189,152.67
"SE","M",-15.3175544794189,48.94
"SE","M",-56.3175544794189,0
"SE","F",32.1824455205811,110.08
"SE","F",29.1824455205811,0
"SE","F",28.1824455205811,40
"SE","F",27.1824455205811,48.84
"SE","F",26.1824455205811,57.48
"SE","F",19.1824455205811,0.837
"SE","F",18.1824455205811,2.2
"SE","F",17.1824455205811,11.86
"SE","F",16.1824455205811,39.55
"SE","F",15.1824455205811,19.07
"SE","F",14.1824455205811,0
"SE","F",12.1824455205811,81.31
"SE","F",12.1824455205811,6.77
"SE","F",-40.3175544794189,0
"SE","F",-44.8175544794189,0
"TI","F",38.1824455205811,7
"TI","F",30.1824455205811,3.6
"TI","F",26.1824455205811,4.5
"TI","F",25.1824455205811,65.1
"TI","F",23.1824455205811,22.7
"TI","F",22.1824455205811,14.5
"TI","F",22.1824455205811,14
"TI","F",22.1824455205811,10.1
"TI","F",21.1824455205811,0
"TI","F",20.1824455205811,49.2
"TI","F",20.1824455205811,17.5
"TI","F",17.1824455205811,12.3
"TI","F",17.1824455205811,8
"TI","F",17.1824455205811,6.8
"TI","F",16.1824455205811,22.9
"TI","F",13.1824455205811,31.3
"TI","F",13.1824455205811,17.6
"TI","F",10.1824455205811,6.5
"TI","F",8.18244552058113,0.8
"TN","M",3.18244552058113,1.76
"TN","M",1.18244552058113,4.62
"TN","M",-0.817554479418874,5.96
"TN","M",-1.81755447941887,86.2326
"TN","M",-1.81755447941887,12.96
"TN","M",-4.81755447941887,8.1
"TN","M",-10.8175544794189,16.2
"TN","M",-12.8175544794189,53.9946
"TN","M",-12.8175544794189,0
"TN","M",-13.8175544794189,109.1718
"TN","M",-13.8175544794189,9.72
"TN","M",-15.3175544794189,38.88
"TN","M",-15.8175544794189,16.2
"TN","M",-23.8175544794189,29.16
"TN","M",-26.8175544794189,0
"TN","M",-37.8175544794189,0
"TN","F",17.1824455205811,84.24
"TN","F",14.1824455205811,3.39
"TN","F",11.1824455205811,0
"TN","F",-3.81755447941887,1.91
"TN","F",-6.81755447941887,87.48
"TN","F",-7.31755447941887,0
"TN","F",-16.8175544794189,0
"TN","F",-16.9175544794189,84.24
"TN","F",-36.8175544794189,0
"VISO","F",12.6824455205811,250.9
"VISO","F",5.18244552058113,1.4
"VISO","F",5.18244552058113,0
"VISO","F",4.68244552058113,495
"VISO","F",4.28244552058112,18.6
"VISO","F",3.18244552058113,96.6
"VISO","F",2.88244552058111,24.1
"VISO","F",-0.817554479418874,58.3
"VISO","F",-1.81755447941887,38.6
"VISO","F",-3.81755447941887,0
"VISO","F",-4.81755447941887,4.9
"VISO","F",-12.8175544794189,7.99
"VISO","F",-47.5175544794189,21.7
"VY","M",3.18244552058113,36.46
"VY","M",-10.8175544794189,11.28
"VY","M",-15.8175544794189,9.57
"VY","F",4.18244552058113,364
"VY","F",-13.8175544794189,0
"VY","F",-18.8175544794189,20.12
"VY","F",-21.8175544794189,6.24
